buffer_rows,candidate_rows,certified_endpoint_pairs,closure_status,computationally_unresolved_endpoint_pairs,core_rows,core_start_local,endpoint_pairs,failure_message,failure_type,missing_public_query_value_endpoint_pairs,monotonicity_status,report_sha256,sensitivity_sha256,status,temporal_edges,uncertified_endpoint_pairs,window_index
630,699,120,PASS,0,69,2026-01-15T08:00:00,150,,,30,PARTIAL,e115acdcac5951ccc9a97af0cb2274fd351d9458d9252c6c75d13b60e0d8a969,80a9261b4bf21517f765cc93fcc37c40a8dbb5994408f03c435f63941ad66e64,COMPLETED,31272,30,0
341,382,120,PASS,0,41,2026-01-15T12:00:00,150,,,30,PARTIAL,b40a3e670eb8399b156c87d1c16c7d91699f25156344462f0a996549ee36f965,5464c466d4167da38ca5bff11b70587cf0a55e32a693b3f6301f544ee622f865,COMPLETED,12695,30,1
563,640,112,PASS,8,77,2026-01-15T17:30:00,150,,,30,PARTIAL,760ed3fb3de9611eee9794e7d568afd35f06d7bcaabd528365c10c934aed8823,fc3ad68b892ee5ab7455922ef556321fc275979fb1ad41d4493a79f19dce929a,COMPLETED,39360,38,2
,,,,,,2026-01-16T08:00:00,,no scan bin met the core-count and timestamp/id-integrity requirements,LiveDataError,,,,,INELIGIBLE_FIXED_CORE,,,3
431,470,120,PASS,0,39,2026-01-16T12:00:00,150,,,30,PARTIAL,d06c012b600a91c69f03e0acf694a4662dc54e1474edb3d0c76d39c3d5ec5808,3d7f2e7f3104db20c69c94d542cca717d5cc3cddc986571cfc0a723cdb76c266,COMPLETED,10515,30,4
589,661,120,PASS,0,72,2026-01-16T17:30:00,150,,,30,PARTIAL,f7cb575a9800c4bb72dcbeb3fe020d766d77ba15c5b35b601706211a7797d830,bcffdc53298dd29fee55dca43105fbd989f0341a6c6f4040fab1d3edf09e2885,COMPLETED,34627,30,5
444,488,120,PASS,0,44,2026-01-19T08:00:00,150,,,30,PARTIAL,601f6900347702d3af4df8e40a9c991e4f91f4012434fd109553ebcadf136c25,2fc7ad19ce51141d27a3b2f3fe58486f3064d1b4ca2cd60422544e2ad367a4cc,COMPLETED,16573,30,6
400,457,120,PASS,0,57,2026-01-19T12:00:00,150,,,30,PARTIAL,191e6bb59a0c4c546ed6dec35edc826232fa246c1e8d6d17865a15d630908479,19c7060342bddaedac41a4b8842272b282b670980cd9b7af4d85528b73c5c2c7,COMPLETED,16996,30,7
450,516,120,PASS,0,66,2026-01-19T17:30:00,150,,,30,PARTIAL,175f210800b3d37b344a4b7ce555f174adab7cf1fa02af9f0353e9fb99d9244e,9a6a7159bdeef4b7cc5cdb1084fe692c4dfec29456df9b7f83a0f810bc8d0bc7,COMPLETED,24031,30,8
,,,,,,2026-01-20T08:00:00,,no scan bin met the core-count and timestamp/id-integrity requirements,LiveDataError,,,,,INELIGIBLE_FIXED_CORE,,,9
505,546,120,PASS,0,41,2026-01-20T12:00:00,150,,,30,PARTIAL,cd184adef7259ee4b85e51184fa66235e97f7763c2962a3a7ace323e82e05bfd,f6bb28231e1fddee47efc14a498f86d7e3df5d78943043d48703f0906e063f15,COMPLETED,12856,30,10
505,565,120,PASS,0,60,2026-01-20T17:30:00,150,,,30,PARTIAL,a759e73d45829bc83171f50ade9b5c97ab01a1090dfadca1004308b640e3ffd0,52f1a27b64b7db626b5ef3d7376186631af07a2fe64681bcd21be0d016ee75c6,COMPLETED,26604,30,11
562,619,120,PASS,0,57,2026-01-21T08:00:00,150,,,30,PARTIAL,a704f4374a12bd38303620f5eaa5d69e3b0fad73de9df62d979862f56136149d,0f8e0cb516cad3878ace39635a68e762bff0407e165f935fd75dcf4934cda2b8,COMPLETED,23460,30,12
334,376,120,PASS,0,42,2026-01-21T12:00:00,150,,,30,PARTIAL,a0dddb303d1ebf74a914668653fabadb5e1b678a21f5188abc4d60db2e3d27fe,7af45c09103223be218daab7e12969421256623fd90a31e992bf58e78f9e4d5a,COMPLETED,12714,30,13
566,626,120,PASS,0,60,2026-01-21T17:30:00,150,,,30,PARTIAL,9de5a392e02d06a47c85211d6523cf5f04bd8b886ae8a8d4b9cdec1f08c28f12,181d4d0315621018e847a8c5bc30c8abb8c28dd667a66a0ecb2d0e644c0d6a04,COMPLETED,26510,30,14
676,750,120,PASS,0,74,2026-01-22T08:00:00,150,,,30,PARTIAL,95ee1b1e9a27d1849b37aeaf797869db97ade422fe876d237c131765cd717f77,bf8bcf677cfc7c0e0a37b119c0b08a978568e21b41fe50652d5891ec3916bc73,COMPLETED,38465,30,15
